"mon_first","id","firstpurchase","lastpurchase","purchases","monetary","f3m","m3m","r","lifetime","f_btts","bt","rfm_recency","rfm_frequency","rfm_monetary"
2019-12-01,791400,2019-12-16,2019-12-16,1,3766.68,1,3766.68,15,0,"1",,3,1,4
2019-12-01,2485002,2019-12-16,2019-12-16,1,3766.68,1,3766.68,15,0,"1",,3,1,4
2019-12-01,3750618,2019-12-02,2019-12-02,1,3787.26,1,3787.26,29,0,"1",,5,2,4
2019-12-01,3828696,2019-12-16,2019-12-23,2,3806.5199999999995,2,3806.5199999999995,8,7,"2",,2,3,4
2019-12-01,3280842,2019-12-02,2019-12-09,2,3806.58,2,3806.58,22,7,"2",,5,4,4
2019-12-01,4056048,2019-12-02,2019-12-02,1,3806.58,1,3806.58,29,0,"1",,5,2,4
2019-12-01,3786252,2019-12-02,2019-12-23,2,3806.58,2,3806.58,8,21,"2",,2,3,4
2019-12-01,763782,2019-12-02,2019-12-23,3,3806.6400000000003,3,3806.6400000000003,8,21,"3",,3,4,4
2019-12-01,730284,2019-12-09,2019-12-09,1,3806.7,1,3806.7,22,0,"1",,4,2,4
2019-12-01,711450,2019-12-02,2019-12-09,2,3806.7000000000003,2,3806.7000000000003,22,7,"2",,4,4,4
2019-12-01,708534,2019-12-02,2019-12-30,4,3877.1400000000003,4,3877.1400000000003,1,28,"4",,1,5,4
2019-12-01,4375152,2019-12-16,2019-12-23,2,4096.02,2,4096.02,8,7,"2",,2,3,4
2019-12-01,948012,2019-12-16,2019-12-30,4,4138.5,4,4138.5,1,14,"4",,1,5,4
2019-12-01,705462,2019-12-02,2019-12-23,6,4305.9,6,4305.9,8,21,"6",,1,5,4
2019-12-01,3309156,2019-12-02,2019-12-23,2,4465.68,2,4465.68,8,21,"2",,2,3,4
2019-12-01,4357686,2019-12-16,2019-12-16,2,4480.98,2,4480.98,15,0,"2",,3,4,4
2019-12-01,3127824,2019-12-09,2019-12-23,2,4528.860000000001,2,4528.860000000001,8,14,"2",,2,3,4
2019-12-01,1098912,2019-12-02,2019-12-02,1,4682.76,1,4682.76,29,0,"1",,5,2,4
2019-12-01,3430218,2019-12-02,2019-12-02,1,4698.06,1,4698.06,29,0,"1",,5,2,4
2019-12-01,1141728,2019-12-16,2019-12-16,1,5007.24,1,5007.24,15,0,"1",,3,1,4
2019-12-01,3037548,2019-12-23,2019-12-23,1,5022.24,1,5022.24,8,0,"1",,2,2,4
2019-12-01,3980538,2019-12-09,2019-12-23,2,5035.5599999999995,2,5035.5599999999995,8,14,"2",,3,3,4
2019-12-01,1152846,2019-12-16,2019-12-23,2,5056.98,2,5056.98,8,7,"2",,3,3,4
2019-12-01,723180,2019-12-09,2019-12-23,3,5075.46,3,5075.46,8,14,"3",,3,4,4
2019-12-01,709416,2019-12-02,2019-12-23,3,5075.7,3,5075.7,8,21,"3",,2,4,4
